iter	MultiClass
0	1.034409918
1	0.980498697
2	0.9358863038
3	0.8989923584
4	0.8644414718
5	0.8358679775
6	0.8133194499
7	0.7933275768
8	0.7733014969
9	0.7559496308
10	0.7400421008
11	0.7250467029
12	0.7124197926
13	0.7007964065
14	0.6904319505
15	0.6808739132
16	0.6720958682
17	0.6649077112
18	0.6567665957
19	0.6512196374
20	0.6459378079
21	0.6414551966
22	0.6357158321
23	0.6318415164
24	0.6265612637
25	0.6230259214
26	0.6186194159
27	0.6137717138
28	0.6094969944
29	0.6058972968
30	0.6020450692
31	0.5990567391
32	0.5959238143
33	0.5923222162
34	0.5890349998
35	0.5860772524
36	0.5831361009
37	0.5805260195
38	0.5776409844
39	0.5751349659
40	0.5729287787
41	0.5711830715
42	0.5697622906
43	0.567546792
44	0.5662195345
45	0.5648695322
46	0.5638705892
47	0.5616556168
48	0.5595262911
49	0.5578627834
50	0.5570373385
51	0.5558162565
52	0.5538472897
53	0.5522363031
54	0.5503138714
55	0.5488587552
56	0.5471443001
57	0.545802818
58	0.5441970248
59	0.5427514726
60	0.5420525603
61	0.5406300391
62	0.5392327264
63	0.5376584359
64	0.5358842823
65	0.5349595305
66	0.5340579669
67	0.5328554866
68	0.5319507204
69	0.531120659
70	0.5297676563
71	0.5290223288
72	0.5275730945
73	0.526311835
74	0.5254080588
75	0.5244512321
76	0.5233468581
77	0.5218466568
78	0.5211409011
79	0.5200935701
80	0.5188314223
81	0.5178486237
82	0.517114675
83	0.5159114908
84	0.514551992
85	0.5135481112
86	0.5124395431
87	0.5111579349
88	0.5102780959
89	0.5097642774
90	0.5086746566
91	0.5076716429
92	0.5065054537
93	0.5053044346
94	0.5044799685
95	0.5036794083
96	0.5021544135
97	0.5010915663
98	0.5002075474
99	0.4991300767
100	0.4980268409
101	0.4965897677
102	0.495795052
103	0.4941982941
104	0.4928955354
105	0.4917236882
106	0.4910933353
107	0.4901175715
108	0.4894212511
109	0.4887352808
110	0.4879556407
111	0.4871550071
112	0.4857550519
113	0.4849755118
114	0.4840823708
115	0.4828907331
116	0.4821967711
117	0.4813003709
118	0.4795586929
119	0.4787107271
120	0.47789729
121	0.4772587118
122	0.476270326
123	0.4752592764
124	0.4740685623
125	0.4729141493
126	0.4716423536
127	0.4706173757
128	0.4701557061
129	0.4692720542
130	0.468738193
131	0.4680577361
132	0.4672835136
133	0.4662777887
134	0.4655118004
135	0.4647509659
136	0.4637706905
137	0.4627730729
138	0.4619678763
139	0.4612712581
140	0.4603518566
141	0.4597172843
142	0.4590198299
143	0.458136462
144	0.4571083237
145	0.4565249156
146	0.4552082348
147	0.4544887654
148	0.4537133616
149	0.4530606693
150	0.452278218
151	0.4515598566
152	0.4508346538
153	0.4500685209
154	0.4496211539
155	0.4490676299
156	0.4480965207
157	0.4469130742
158	0.4461222025
159	0.4454937868
160	0.4444126674
161	0.4432031878
162	0.4428694467
163	0.4419708691
164	0.440834982
165	0.4400749013
166	0.438914608
167	0.4380992186
168	0.4375921137
169	0.4367949797
170	0.4360024753
171	0.4353781106
172	0.4342423096
173	0.4334375194
174	0.432066222
175	0.4311831166
176	0.4307350182
177	0.4297081971
178	0.4288691977
179	0.4282633449
180	0.4274848695
181	0.4267628453
182	0.4259018722
183	0.4250810583
184	0.4244682122
185	0.4234863187
186	0.4226968491
187	0.4220324899
188	0.4211389393
189	0.4203629414
190	0.4193001772
191	0.4187141489
192	0.4180448897
193	0.4173743255
194	0.4167035774
195	0.4161524041
196	0.415916711
197	0.4155575452
198	0.4148361498
199	0.4143570973
