iter	Passed	Remaining
0	142	28380
1	146	14544
2	150	9914
3	155	7605
4	159	6224
5	164	5305
6	166	4581
7	167	4027
8	171	3645
9	175	3342
10	179	3090
11	184	2884
12	188	2705
13	192	2551
14	194	2399
15	198	2285
16	202	2180
17	206	2088
18	210	2003
19	213	1925
20	218	1858
21	221	1794
22	225	1734
23	230	1693
24	234	1644
25	238	1597
26	242	1552
27	246	1511
28	249	1471
29	253	1434
30	256	1400
31	260	1368
32	264	1338
33	267	1308
34	271	1281
35	275	1256
36	279	1231
37	283	1208
38	287	1186
39	291	1166
40	295	1147
41	299	1127
42	303	1108
43	307	1091
44	311	1072
45	315	1055
46	319	1040
47	323	1025
48	327	1008
49	331	993
50	335	981
51	340	968
52	344	954
53	348	942
54	352	929
55	356	916
56	360	903
57	363	890
58	367	877
59	371	866
60	373	851
61	378	841
62	381	830
63	386	821
64	390	810
65	393	798
66	397	788
67	400	778
68	404	768
69	408	757
70	411	748
71	415	738
72	418	728
73	422	719
74	426	710
75	431	703
76	434	694
77	438	685
78	443	679
79	447	670
80	450	662
81	454	653
82	457	645
83	461	637
84	465	629
85	469	622
86	472	614
87	477	607
88	481	600
89	485	593
90	489	586
91	493	578
92	496	571
93	500	564
94	504	557
95	508	550
96	512	543
97	515	536
98	518	529
99	522	522
100	526	515
101	529	508
102	532	501
103	536	494
104	539	488
105	543	481
106	546	474
107	550	468
108	553	462
109	556	455
110	560	449
111	564	443
112	567	436
113	570	430
114	574	424
115	577	418
116	581	412
117	584	406
118	588	400
119	591	394
120	595	388
121	598	382
122	602	377
123	605	371
124	609	365
125	612	359
126	616	354
127	619	348
128	623	343
129	626	337
130	630	332
131	634	326
132	638	321
133	641	316
134	645	310
135	648	305
136	652	300
137	657	295
138	660	290
139	664	284
140	668	279
141	672	274
142	675	269
143	679	264
144	683	259
145	687	254
146	690	248
147	694	243
148	698	238
149	701	233
150	705	228
151	708	223
152	712	218
153	715	213
154	719	208
155	722	203
156	726	198
157	730	194
158	733	189
159	736	184
160	740	179
161	743	174
162	746	169
163	750	164
164	753	159
165	757	155
166	760	150
167	763	145
168	767	140
169	770	135
170	773	131
171	777	126
172	781	121
173	784	117
174	788	112
175	791	107
176	795	103
177	798	98
178	802	94
179	805	89
180	809	84
181	812	80
182	815	75
183	819	71
184	822	66
185	825	62
186	829	57
187	832	53
188	836	48
189	839	44
190	842	39
191	846	35
192	849	30
193	853	26
194	856	21
195	859	17
196	863	13
197	866	8
198	870	4
199	873	0
